name,address,origin,category1,category2,category3,file,url,area,count,lat,lon
ふるさとギャラリー叔羅,東千福町１７－１７,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南,1,35.889008,136.158749
藤波亭：無料休憩所,東千福町２１−１２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南,1,35.890276,136.156669
武生南小学校,武生柳町１３－２０,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南,1,35.894355,136.164619
武生第二中学校,妙法寺町４２－１５,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南,1,35.887209,136.160787
南公民館,武生柳町１２－２７,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南,1,35.895331,136.164074
武生南児童センター,武生柳町１１－２８,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南,1,35.895554,136.164719
越前市武生体育センター,行松町２５－１０,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,南,1,35.876425,136.167321
神山小学校,広瀬町１０２－４３,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,神山,1,35.8857,136.135976
神山公民館,広瀬町１０２－５５－２,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,神山,1,35.885893,136.135632
神山児童館,広瀬町１０２－４１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,神山,1,35.885615,136.136792
刃物の里（越前打刃物振興施設）,池ノ上町４８－６－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,神山,1,35.875891,136.146534
吉野小学校,本保町１７－１,健康,健康増進課,健康,AED,自動体外式除細動器,http://www.city.echizen.lg.jp/office/050/030/aedzidoutaigaisikizyozaidouki.html,吉野,1,35.925811,136.15744
